NO;LOKASI PENGUNGSIAN;ALAMAT
8;Rusunawa JatinegaraBarat;Jl. Jatinegara Bar. No.10, RT.10/RW.1, Kp. Melayu, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13320
9;Musholla Al Muhajirin;RT.11/RW.4, Balekambang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13530
10;Belakang RS. Budi Asih;Jl. Dewi Sartika No.200, RT.1/RW.3, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630
11;Universitas Binawan;Jl. Dewi Sartika No.25-30, Kalibata, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630
12;Kantor Kec. Kramat Jati;Jl. Raya Bogor No.KM.20, RT.14/RW.11, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13510
13;Musholla Al- Hikmah;Jl. Dato Tonggara IV No.5, RT.5/RW.11, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13510
14;Masjid Al Amin;Jl. Al Amin No.8 2, RT.2/RW.6, Kramat Jati, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13510
15;RPTRA Cililitan;Blok Haji Yusuf No., Jalan Buluh Blok Haji Yusuf No.73/7, RT.9/RW.16, Cililitan, Kramatjati, RT.9/RW.16, Cililitan, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13640
16;SD 04 Cakung Barat;11, RT.11/RW.7, West Cakung, Cakung, East Jakarta City, Jakarta 13910
17;Masjid Al Muqorobbin;Jl. Al-Muqorrobin, RT.5/RW.3, Cipinang Melayu, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13620
18;Mesjid Kampus Borobudur;9, RT.9/RW.4, Cipinang Melayu, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13620
19;Kantor Kel Halim Perdanakusuma;Jl. Squadron No.1A 10, RT.10/RW.5, Halim Perdanakusuma, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13570
20;Yayasan Yatim Piatu Nurul Hikmah Halim PK;Jl. Kp. Baru 1 No.110, RT.2/RW.5, Halim Perdanakusuma, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13610
21;Mushola Al. Ikhwan;Jl. Asri No.6 10, RT.10/RW.7, Halim Perdanakusuma, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13610
22;Mushola Ar. Rahman;PVJH+7Q6, Jl. Kp. Baru 1, RT.8/RW.5, Halim Perdanakusuma, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13610
23;Masjid Darul Khoirot;PVXH+XGR, RT.2/RW.8, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13650
24;Gor Kecamatan Makasar;Jl. Gelanggang Remaja No.43 1, RT.1/RW.5, Makasar, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13570
25;SD N 01 Kebon Manggis;Jl. TM. Slamet Riyadi II No.7B 7, RT.7/RW.4, Kb. Manggis, Kec. Matraman, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13150
